timestamp,open,high,low,close,volume
2023-07-24,0.15,5.29,0.15,2.288,261823460.2
2023-07-31,2.288,2.525,2.011,2.039,93554629.7
2023-08-07,2.042,2.11,1.65,1.768,81712366.9
2023-08-14,1.768,1.817,1.2,1.469,92142239.6
2023-08-21,1.468,1.531,1.222,1.312,52786750.1
2023-08-28,1.312,1.385,1.094,1.13,119163861.3
2023-09-04,1.13,1.393,1.02,1.093,161202258.1
2023-09-11,1.093,1.724,0.971,1.264,268295872.6
2023-09-18,1.264,1.692,1.232,1.621,199469965.3
2023-09-25,1.62,1.899,1.571,1.78,132910518.6
2023-10-02,1.78,1.806,1.453,1.583,65140244.8
2023-10-09,1.583,1.658,1.425,1.529,49216501.1
2023-10-16,1.528,1.736,1.4,1.633,74971805.8
2023-10-23,1.633,1.956,1.482,1.8,109800605.9
2023-10-30,1.8,2.05,1.703,1.821,74217502.6
2023-11-06,1.82,2.1,1.555,1.948,77615564.5
2023-11-13,1.948,2.6,1.82,2.415,233467616.0
2023-11-20,2.416,2.878,2.161,2.658,195154301.2
2023-11-27,2.656,2.784,2.315,2.463,85765096.2
2023-12-04,2.464,2.75,2.32,2.688,81459579.3
2023-12-11,2.688,4.788,2.304,4.205,235441983.9
2023-12-18,4.203,4.355,3.262,3.362,144552056.8
2023-12-25,3.362,4.078,3.33,3.633,96406606.5
2024-01-01,3.633,3.92,2.503,2.63,79273067.1
2024-01-08,2.631,3.188,2.371,2.663,84285666.0
2024-01-15,2.662,2.857,2.342,2.503,39254000.1
2024-01-22,2.503,2.521,2.071,2.278,43301125.7
2024-01-29,2.278,2.761,2.167,2.183,66108677.5
2024-02-05,2.182,2.609,2.152,2.46,31888006.5
2024-02-12,2.461,6.428,2.46,5.895,183499082.5
2024-02-19,5.896,9.45,5.839,8.544,345119474.3
2024-02-26,8.546,9.244,7.002,7.912,268520873.3
2024-03-04,7.913,11.972,5.6,9.552,299115511.3
2024-03-11,9.553,10.893,8.154,9.553,183687474.7
2024-03-18,9.556,9.833,7.2,8.461,124726394.0
2024-03-25,8.46,9.474,8.026,8.217,85816908.8
2024-04-01,8.218,8.302,6.463,7.206,84697198.0
2024-04-08,7.206,7.483,3.681,5.143,130607000.6
2024-04-15,5.143,5.9,4.453,5.536,141709480.2
2024-04-22,5.536,6.188,4.332,4.708,103310811.5
2024-04-29,4.708,5.852,4.176,5.748,108920460.9
2024-05-06,5.747,6.54,5.211,5.951,155006852.9
2024-05-13,5.951,6.332,4.598,4.7,143854502.6
2024-05-20,4.699,5.264,4.396,4.534,109939514.8
2024-05-27,4.534,5.187,4.509,4.678,108952793.8
2024-06-03,4.679,5.13,3.9,4.24,101728367.1
2024-06-10,4.24,4.407,3.978,4.157,18356262.9
