timestamp,open,high,low,close,volume
2022-01-01 00:00:00,46216.93,46731.39,46208.37,46656.13,1503.33095
2022-01-01 01:00:00,46656.14,46949.99,46574.06,46778.14,943.81539
2022-01-01 02:00:00,46778.14,46928.94,46721.96,46811.77,485.1686
2022-01-01 03:00:00,46811.77,46916.63,46760.12,46813.2,562.88971
2022-01-01 04:00:00,46813.21,46887.33,46591.23,46711.05,861.88389
2022-01-01 05:00:00,46711.05,47555.55,46673.94,47192.55,1400.73642
2022-01-01 06:00:00,47192.56,47324.42,46940.0,46979.62,613.97776
2022-01-01 07:00:00,46979.61,47255.85,46864.84,47194.73,646.20081
2022-01-01 08:00:00,47194.73,47344.69,47075.11,47124.82,532.44767
2022-01-01 09:00:00,47124.82,47215.56,46933.58,47143.98,541.32491
2022-01-01 10:00:00,47143.98,47298.75,46715.39,46871.08,923.0176
2022-01-01 11:00:00,46871.09,47007.73,46756.77,46758.87,732.88793
2022-01-01 12:00:00,46758.87,47150.48,46756.3,47074.05,582.15009
2022-01-01 13:00:00,47074.05,47199.67,46935.09,47023.24,454.14412
2022-01-01 14:00:00,47023.24,47100.0,46850.18,46926.22,503.6622
2022-01-01 15:00:00,46920.01,47491.14,46871.69,47219.04,1515.95305
2022-01-01 16:00:00,47219.04,47527.24,47186.07,47268.62,1049.57919
2022-01-01 17:00:00,47268.61,47954.63,47238.81,47754.48,1320.66577
2022-01-01 18:00:00,47754.47,47844.97,47420.0,47560.55,860.76025
2022-01-01 19:00:00,47560.54,47611.84,47292.72,47329.78,830.6716
2022-01-01 20:00:00,47329.79,47559.03,47250.18,47391.82,717.20792
2022-01-01 21:00:00,47391.82,47573.05,47268.79,47319.67,809.21927
2022-01-01 22:00:00,47319.66,47490.98,47222.22,47440.74,466.47861
2022-01-01 23:00:00,47440.74,47814.0,47277.77,47722.65,746.28954
2022-01-02 00:00:00,47722.66,47750.0,47381.12,47625.3,1082.50817
2022-01-02 01:00:00,47625.29,47641.83,47315.38,47377.97,465.7536
2022-01-02 02:00:00,47377.97,47449.56,47275.5,47370.5,452.39245
2022-01-02 03:00:00,47370.49,47467.11,47269.47,47329.47,387.25302
2022-01-02 04:00:00,47329.47,47415.73,46770.23,46910.3,1259.6882
2022-01-02 05:00:00,46910.3,47089.63,46832.08,47081.28,686.20377
2022-01-02 06:00:00,47081.28,47244.0,47011.24,47122.61,528.20197
2022-01-02 07:00:00,47122.6,47300.0,47087.62,47173.45,544.37433
2022-01-02 08:00:00,47173.44,47247.12,46970.05,47222.4,578.28603
2022-01-02 09:00:00,47222.4,47499.45,47144.12,47273.24,792.44368
2022-01-02 10:00:00,47273.23,47348.34,47140.3,47188.89,390.08901
2022-01-02 11:00:00,47188.88,47400.0,47159.57,47235.5,359.02993
2022-01-02 12:00:00,47238.89,47447.0,47013.5,47292.95,798.05773
2022-01-02 13:00:00,47289.67,47300.86,47090.0,47137.35,580.44121
2022-01-02 14:00:00,47137.35,47202.39,47020.0,47112.55,617.66611
2022-01-02 15:00:00,47112.54,47390.0,47071.27,47340.47,784.16369
2022-01-02 16:00:00,47340.47,47886.0,47273.64,47792.3,1367.5695
2022-01-02 17:00:00,47792.29,47990.0,47317.46,47401.14,1440.59237
2022-01-02 18:00:00,47401.14,47401.14,46654.0,47058.12,1852.33799
